entry,at,order
"""Dan @ ZB3s47J263"" folds",2020-12-05T07:32:43.678Z,160715356367900
"""Linan @ PKTux6PUMb"" posts a big blind of 20",2020-12-05T07:07:11.738Z,160715203174009
"""Jen @ XqgTOswofW"" posts a small blind of 10",2020-12-05T07:07:11.738Z,160715203174008
"Your hand is 3♣, 6♦",2020-12-05T07:07:11.738Z,160715203174006
"Player stacks: #1 ""Tim @ OuRDJHZx-C"" (3193) | #2 ""joe @ To7KZmMlPh"" (1969) | #4 ""CreamPuff @ owJOiR5UW9"" (964) | #6 ""Jen @ XqgTOswofW"" (5990) | #7 ""Linan @ PKTux6PUMb"" (3005) | #8 ""Dan @ ZB3s47J263"" (2761)",2020-12-05T07:07:11.738Z,160715203174001
"-- starting hand #144  (No Limit Texas Hold'em) (dealer: ""CreamPuff @ owJOiR5UW9"") --",2020-12-05T07:07:11.738Z,160715203174000
"""joe @ To7KZmMlPh"" shows a 4♣, 10♥.",2020-12-05T07:07:10.630Z,160715203063000
"-- ending hand #143 --",2020-12-05T07:07:05.199Z,160715202520001
"""CreamPuff @ owJOiR5UW9"" collected 964 from pot with Two Pair, K's & J's (combination: K♥, K♣, J♠, J♥, 9♠)",2020-12-05T07:07:05.199Z,160715202520000
"river: K♥, 3♥, K♣, 2♥ [9♠]",2020-12-05T07:07:02.178Z,160715202218000
"turn: K♥, 3♥, K♣ [2♥]",2020-12-05T07:06:59.163Z,160715201916500
"""Dan @ ZB3s47J263"" shows a A♥, 3♣.",2020-12-05T07:06:56.144Z,160715201614501
"""CreamPuff @ owJOiR5UW9"" shows a J♠, J♥.",2020-12-05T07:06:56.144Z,160715201614500
"""Tim @ OuRDJHZx-C"" folds",2020-12-05T07:06:55.338Z,160715201533900
"""Dan @ ZB3s47J263"" calls 272",2020-12-05T07:06:52.513Z,160715201251400
"""Linan @ PKTux6PUMb"" folds",2020-12-05T07:06:48.910Z,160715200891000
"""Jen @ XqgTOswofW"" folds",2020-12-05T07:06:48.070Z,160715200807100
"""CreamPuff @ owJOiR5UW9"" bets 272 and go all in",2020-12-05T07:06:46.730Z,160715200673100
"flop:  [K♥, 3♥, K♣]",2020-12-05T07:06:42.256Z,160715200225700
"""joe @ To7KZmMlPh"" folds",2020-12-05T07:06:41.449Z,160715200145000
"""Tim @ OuRDJHZx-C"" calls 80",2020-12-05T07:06:40.212Z,160715200021300
"""Dan @ ZB3s47J263"" calls 80",2020-12-05T07:06:39.114Z,160715199911400
"""Linan @ PKTux6PUMb"" calls 80",2020-12-05T07:06:38.222Z,160715199822200
"""Jen @ XqgTOswofW"" calls 80",2020-12-05T07:06:37.376Z,160715199737600
"""CreamPuff @ owJOiR5UW9"" raises to 80",2020-12-05T07:06:31.940Z,160715199194100
"""joe @ To7KZmMlPh"" calls 20",2020-12-05T07:06:28.993Z,160715198899400
"""Tim @ OuRDJHZx-C"" calls 20",2020-12-05T07:06:26.995Z,160715198699500
"""Dan @ ZB3s47J263"" calls 20",2020-12-05T07:06:24.704Z,160715198470500
"""Linan @ PKTux6PUMb"" calls 20",2020-12-05T07:06:23.803Z,160715198380300
"""Jen @ XqgTOswofW"" posts a big blind of 20",2020-12-05T07:06:20.947Z,160715198094809
"""CreamPuff @ owJOiR5UW9"" posts a small blind of 10",2020-12-05T07:06:20.947Z,160715198094808
"Your hand is Q♦, 4♥",2020-12-05T07:06:20.947Z,160715198094806
"Player stacks: #1 ""Tim @ OuRDJHZx-C"" (3273) | #2 ""joe @ To7KZmMlPh"" (1989) | #4 ""CreamPuff @ owJOiR5UW9"" (352) | #6 ""Jen @ XqgTOswofW"" (6070) | #7 ""Linan @ PKTux6PUMb"" (3085) | #8 ""Dan @ ZB3s47J263"" (3113)",2020-12-05T07:06:20.947Z,160715198094801
"-- starting hand #143  (No Limit Texas Hold'em) (dealer: ""joe @ To7KZmMlPh"") --",2020-12-05T07:06:20.947Z,160715198094800
"""joe @ To7KZmMlPh"" shows a 8♠, 5♣.",2020-12-05T07:06:17.425Z,160715197742600
"-- ending hand #142 --",2020-12-05T07:06:13.412Z,160715197341403
